"","Date","ch.average.int.rates.nl.br.ch","ch.average.int.rates.linked.br.ch","ch.average.fixed.int.rates.ch","Apartment.buildings.2.ch","private.apartements.ch","single.family.houses.ch","apartment.buildings.ch","total.house.prices.average.ch"
"1",2009-01-01,2.7475,1.131246,2.3,96.62017993,141.1409851,129.583325475,98.3413975633333,122.448163501667
"2",2009-04-01,2.745,1.1378333334,2.202,97.57319461,142.135333975,129.869379175,97.05801527,123.19263592
"3",2009-07-01,2.74,1.1103166666,2.2400000002,96.66857306,143.138914925,129.84277245,97.37460314,123.216753478333
"4",2009-10-01,2.7333333332,1.0981666666,2.1963333334,98.52620928,145.397767825,131.02950815,99.3010047533333,124.984495085
"5",2010-01-01,2.7333333334,1.066194,2.0866666666,100,148.609099925,132.845726325,100,127.15160875
"6",2010-04-01,2.74,1.0086553332,2.0684666666,100.7984866,149.89985535,134.956793575,100.39509465,128.551711841667
"7",2010-07-01,2.7383333334,1.0179533334,1.9893333334,101.0591496,153.56546315,136.6248925,100.7567947,130.41650175
"8",2010-10-01,2.715,1.0458666666,1.9976666668,101.556279,153.504837575,137.599678275,101.10642945,130.886931616667
"9",2011-01-01,2.7316666668,1.0413306668,2.0095,102.9079871,155.855997225,139.352376275,102.540062366667,132.705453533333
"10",2011-04-01,2.725,0.9544333334,1.7079999998,106.4269374,158.330433575,141.62099305,105.3065405,135.459454675
"11",2011-07-01,2.7341666666,0.9474,1.6177,107.7055058,161.87276535,142.888003875,106.0388551,137.488758341667
"12",2011-10-01,2.7333333334,0.985198,1.5702333332,108.6343239,163.7971342,144.9575688,107.440546966667,139.129675633333
"13",2012-01-01,2.7083333334,1.0497000002,1.557,110.2472449,168.12628815,148.6492648,112.6670408,142.340932616667
"14",2012-04-01,2.7058333332,1.0224,1.4948999998,109.5383955,169.40994035,150.106865275,113.303775533333,143.018400375
"15",2012-07-01,2.69,0.9665,1.4591333332,108.7811531,173.309940425,151.300828875,112.549913066667,144.463974133333
"16",2012-10-01,2.6900000002,0.9509599998,1.551,115.3543697,175.6666065,152.734396425,115.123561,147.918457541667
"17",2013-01-01,2.6583333332,1.0156,1.5689,114.2055828,181.13818705,156.265360475,117.661124966667,150.536376775
"18",2013-04-01,2.6833333334,1.0286666666,1.6403999998,114.3766085,182.38993805,157.6008893,118.5243249,151.45581195
"19",2013-07-01,2.69,1.0060466666,1.5794,115.2729812,182.880083475,157.4393552,119.6846006,151.864139958333
"20",2013-10-01,2.6616666668,1.00086,1.5923333332,117.1542641,184.598337025,159.50207535,120.767475166667,153.751558825
"21",2014-01-01,2.7483333332,1.03076,1.4603333334,119.9726139,186.69330925,159.8557348,122.519068166667,155.507219316667
"22",2014-04-01,2.7525000002,1.0564933332,1.4103333332,122.6034403,187.69938315,161.58196515,124.068199766667,157.294929533333
"23",2014-07-01,2.7316666666,1.0091533334,1.388,125.1446295,188.772285875,161.290667525,125.9119017,158.402527633333
"24",2014-10-01,2.7483333332,0.9876666668,1.2528333336,124.4445789,189.16210415,162.13675845,125.763490366667,158.581147166667
"25",2015-01-01,2.73,1.0003333336,1.2926666666,127.4905963,189.9929783,163.38835465,128.828379433333,160.290643083333
"26",2015-04-01,2.7416666666,1.0883333334,1.3103333336,130.4640241,189.994159325,164.768682625,130.0733956,161.742288683333
"27",2015-07-01,2.7333333334,1.0406999998,1.3189999998,132.3293592,191.00440465,165.54893195,130.460112766667,162.9608986
"28",2015-10-01,2.7583333334,1.0350866666,1.2501666666,146.0295638,191.769047325,164.83880125,134.5609607,167.545804125
"29",2016-01-01,2.7416666666,1.1003333332,1.22,142.7223334,193.844111875,165.317570375,136.540417666667,167.294671883333
"30",2016-04-01,2.7583333332,1.033,1.2093333334,142.9587999,191.104314525,166.16321965,136.816704033333,166.742111358333
"31",2016-07-01,2.75,1.027,1.2349999998,141.6554849,191.845986275,165.155639525,136.094684066667,166.2190369
"32",2016-10-01,2.7416666666,1.0025000002,1.236,144.2214206,190.962228075,166.131041925,137.123467266667,167.104896866667
"33",2017-01-01,2.7466666666,0.954,1.2269999998,146.330921,189.010971675,164.8065207,138.123446,166.716137791667
"34",2017-04-01,2.725,0.9968333334,1.2316666666,148.4404215,190.110236425,166.41236405,138.901788666667,168.321007325
"35",2017-07-01,2.725,0.9813333332,1.2225,144.9951607,191.430260775,167.9957237,141.9443011,168.140381725
"36",2017-10-01,2.7333333334,0.949,1.2256666666,145.9723719,194.0529222,168.89848065,143.748759066667,169.64125825
