"","Date","ch.average.int.rates.nl.br.ch","ch.average.int.rates.linked.br.ch","ch.average.fixed.int.rates.ch","private.apartements.average.ch","single.family.houses.average.ch","apartment.buildings.average.ch","total.house.prices.average.ch"
"1",2009-01-01,2.871875,1.131246,2.3,141.1409851,129.583325475,98.3413975633333,122.448163501667
"2",2009-04-01,2.86875,1.1378333334,2.202,142.135333975,129.869379175,97.05801527,123.19263592
"3",2009-07-01,2.8625,1.1103166666,2.2400000002,143.138914925,129.84277245,97.37460314,123.216753478333
"4",2009-10-01,2.8541666665,1.0981666666,2.1963333334,145.397767825,131.02950815,99.3010047533333,124.984495085
"5",2010-01-01,2.85416666675,1.066194,2.0866666666,148.609099925,132.845726325,100,127.15160875
"6",2010-04-01,2.8625,1.0086553332,2.0684666666,149.89985535,134.956793575,100.39509465,128.551711841667
"7",2010-07-01,2.86041666675,1.0179533334,1.9893333334,153.56546315,136.6248925,100.7567947,130.41650175
"8",2010-10-01,2.83125,1.0458666666,1.9976666668,153.504837575,137.599678275,101.10642945,130.886931616667
"9",2011-01-01,2.8520833335,1.0413306668,2.0095,155.855997225,139.352376275,102.540062366667,132.705453533333
"10",2011-04-01,2.84375,0.9544333334,1.7079999998,158.330433575,141.62099305,105.3065405,135.459454675
"11",2011-07-01,2.85520833325,0.9474,1.6177,161.87276535,142.888003875,106.0388551,137.488758341667
"12",2011-10-01,2.85416666675,0.985198,1.5702333332,163.7971342,144.9575688,107.440546966667,139.129675633333
"13",2012-01-01,2.82291666675,1.0497000002,1.557,168.12628815,148.6492648,112.6670408,142.340932616667
"14",2012-04-01,2.8197916665,1.0224,1.4948999998,169.40994035,150.106865275,113.303775533333,143.018400375
"15",2012-07-01,2.8,0.9665,1.4591333332,173.309940425,151.300828875,112.549913066667,144.463974133333
"16",2012-10-01,2.80000000025,0.9509599998,1.551,175.6666065,152.734396425,115.123561,147.918457541667
"17",2013-01-01,2.7604166665,1.0156,1.5689,181.13818705,156.265360475,117.661124966667,150.536376775
